date,demand
2000-01-01,84.89017400165216
2000-01-02,76.61826305894037
2000-01-03,121.53066814125832
2000-01-04,168.67625873505574
2000-01-05,132.34464942710494
2000-01-06,117.91627115861557
2000-01-07,139.01647873779365
2000-01-08,104.28663427532871
2000-01-09,80.94867264105494
2000-01-10,131.4917880587699
2000-01-11,131.57953392391
2000-01-12,139.0913039330488
2000-01-13,142.32289272912686
2000-01-14,64.17285624113714
2000-01-15,54.407584146658024
2000-01-16,91.01567615554971
2000-01-17,104.94843007699264
2000-01-18,163.31320411514065
2000-01-19,140.27316291215314
2000-01-20,113.14919757086457
2000-01-21,160.7693541949227
2000-01-22,103.9463124860221
2000-01-23,118.75479460839173
2000-01-24,106.57440091011574
2000-01-25,153.69818051538638
2000-01-26,177.52106734410145
2000-01-27,131.37640070216062
2000-01-28,145.13197356616666
2000-01-29,106.09982943724779
2000-01-30,121.20978697495352
2000-01-31,138.493248515019
2000-02-01,224.8616084495804
2000-02-02,185.55843244987065
2000-02-03,144.75417025392426
2000-02-04,167.24360996780126
2000-02-05,101.42687919768268
2000-02-06,144.44458509197955
2000-02-07,115.15072992566311
2000-02-08,155.83932431243832
2000-02-09,201.18655064596066
2000-02-10,199.90471768698683
2000-02-11,161.0844113896901
2000-02-12,139.0482797781047
2000-02-13,141.5554482094463
2000-02-14,136.9052763369739
2000-02-15,180.63681950205876
2000-02-16,194.19845467723803
2000-02-17,217.17835828459798
2000-02-18,174.55318856213043
2000-02-19,106.87876254431612
2000-02-20,166.0506907317253
2000-02-21,172.95465427716846
2000-02-22,190.26870220435143
2000-02-23,229.40825473201022
2000-02-24,224.76801049238657
2000-02-25,197.32599763517211
2000-02-26,137.89193028559689
2000-02-27,157.97006614176854
2000-02-28,198.4471557854424
2000-02-29,238.99425603439434
2000-03-01,209.37887670144866
2000-03-02,201.4194860976998
2000-03-03,153.2777062683279
2000-03-04,135.68158356892292
2000-03-05,192.54839629872234
2000-03-06,230.42519298255627
2000-03-07,218.97605045860465
2000-03-08,252.4326445540856
2000-03-09,220.9017794827191
2000-03-10,170.4203041352435
2000-03-11,180.04468143056818
2000-03-12,215.91861344282793
2000-03-13,200.664034333316
2000-03-14,264.7396273195053
2000-03-15,166.50341838556753
2000-03-16,236.86546643184775
2000-03-17,192.98466829756381
2000-03-18,167.59689553370478
2000-03-19,183.62508545772013
2000-03-20,155.533951183256
2000-03-21,223.59445180001362
2000-03-22,244.18595945525655
2000-03-23,256.32396166257917
2000-03-24,180.70733172351643
2000-03-25,157.51156510804734
2000-03-26,171.23459786385925
2000-03-27,230.35077912769407
2000-03-28,239.34219594055503
2000-03-29,223.8455099572842
2000-03-30,233.833511450726
2000-03-31,197.50979170625422
2000-04-01,203.1521130593963
